name,state,url,location,summit_elevation,base_elevation,vertical_drop,skiable_area,number_of_trails,number_of_lifts,annual_snowfall,website,coordinates,owner_operator,opening_year,status
Cannonsburg Ski Area,Michigan,https://en.wikipedia.org/w/index.php?title=Cannonsburg_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Challenge Mountain,Michigan,https://en.wikipedia.org/w/index.php?title=Challenge_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Crystal Mountain Resort & Spa,Michigan,https://en.wikipedia.org/wiki/Crystal_Mountain_(Michigan),"Thompsonville , Weldon Township, Michigan","1,132 ft (345 m).",757 ft (231 m).,314 ft (96 m).,"103 acres (420,000 m 2 )",58,,"132"" average per year",http://www.crystalmountain.com,44.52000°N 85.99222°W,,,
Hickory Hills Ski Area,Michigan,https://en.wikipedia.org/w/index.php?title=Hickory_Hills_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
The Highlands at Harbor Springs,Michigan,https://en.wikipedia.org/wiki/The_Highlands_at_Harbor_Springs,"Pleasantview Township , Emmet County, Michigan , United States","1,300 feet (400 m)",800 feet (240 m),500 feet (150 m),300 acres (1.2 km 2 ),55,,,https://www.highlandsharborsprings.com/,45.47083°N 84.93472°W,Boyne Resorts,,Operating
The Homestead,Michigan,https://en.wikipedia.org/w/index.php?title=The_Homestead_(resort)&action=edit&redlink=1,,,,,,,,,,,,,
Marquette Mountain,Michigan,https://en.wikipedia.org/wiki/Marquette_Mountain,"Marquette , Michigan , U.S.","1,257 ft (383 m)",800 ft (244 m),457 ft (139 m),169 acres (0.68 km 2 ),25 - 15% easiest - 50% more difficult - 35% most difficult,,117 in (300 cm),http://www.marquettemountain.com,46°30′29″N 87°25′12″W ﻿ / ﻿ 46.508°N 87.42°W ﻿ / 46.508; -87.42,,,
Mont Ripley Ski Resort,Michigan,https://en.wikipedia.org/wiki/Mont_Ripley,"Franklin Township, Houghton County, Michigan , United States","1,140 ft (350 m) AMSL",700 ft (210 m) AMSL,440 ft (134 m),112 acres (0.2 sq mi; 0.5 km 2 ),31 16% easiest 35% more difficult 42% most difficult 6% expert only,,275 inches (22.9 ft; 7.0 m),http://www.mtu.edu/mont-ripley,47°08′N 88°34′W ﻿ / ﻿ 47.13°N 88.56°W ﻿ / 47.13; -88.56,Michigan Technological University,,Operating
Mount Bohemia,Michigan,https://en.wikipedia.org/wiki/Mount_Bohemia,"Grant Township, Keweenaw County , at Lac La Belle , Michigan",,,804 ft (245 m),550 acres,95,,300 in. avg. annually,https://www.mtbohemia.com/,47°23′30″N 88°0′49″W ﻿ / ﻿ 47.39167°N 88.01361°W ﻿ / 47.39167; -88.01361,,,
Mt. Brighton Ski Resort,Michigan,https://en.wikipedia.org/wiki/Mt._Brighton,,,,,,,,,,,,,
Mt. Holiday,Michigan,https://en.wikipedia.org/w/index.php?title=Mt._Holiday&action=edit&redlink=1,,,,,,,,,,,,,
Mt. Holly Ski and Snowboard Resort,Michigan,https://en.wikipedia.org/w/index.php?title=Mt._Holly_Ski_and_Snowboard_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Mt. McSauba Recreation Area,Michigan,https://en.wikipedia.org/w/index.php?title=Mt._McSauba_Recreation_Area&action=edit&redlink=1,,,,,,,,,,,,,
Mt. Zion Ski Area,Michigan,https://en.wikipedia.org/w/index.php?title=Mt._Zion_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Mulligan's Hollow Ski Bowl,Michigan,https://en.wikipedia.org/wiki/Mulligan%27s_Hollow_Ski_Bowl,,,,,,,,,,,,,
Norway Mountain Ski and Snowboard Resort,Michigan,https://en.wikipedia.org/w/index.php?title=Norway_Mountain_Ski_and_Snowboard_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Nub's Nob,Michigan,https://en.wikipedia.org/wiki/Nub%27s_Nob,"Michigan , United States","1,338 ft (408 m)",911 ft (278 m),427 ft (130 m),248 acres (1.0 km 2 ),53,,123 inches (310 cm),http://nubsnob.com,45°28′12″N 84°54′11″W ﻿ / ﻿ 45.47°N 84.903°W ﻿ / 45.47; -84.903,,,
Otsego Club & Resort,Michigan,https://en.wikipedia.org/w/index.php?title=Otsego_Club_%26_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Petoskey Winter Sports Park,Michigan,https://en.wikipedia.org/w/index.php?title=Petoskey_Winter_Sports_Park&action=edit&redlink=1,,,,,,,,,,,,,
Pine Knob Ski Resort,Michigan,https://en.wikipedia.org/wiki/Pine_Knob,,,,,,,,,,42°44′32″N 83°22′02″W ﻿ / ﻿ 42.7422524°N 83.3671629°W ﻿ / 42.7422524; -83.3671629,,,
Pine Mountain Resort,Michigan,https://en.wikipedia.org/w/index.php?title=Pine_Mountain_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Porcupine Mountains Ski Area,Michigan,https://en.wikipedia.org/wiki/Porcupine_Mountains_Ski_Area,"Michigan , United States","1,338 ft (408 m)",911 ft (278 m),560 ft (170 m),250 acres (1.0 km 2 ),20,,200 inches (510 cm),https://porkies.ski/,46°48′N 89°40′W ﻿ / ﻿ 46.8°N 89.67°W ﻿ / 46.8; -89.67,,,
Shanty Creek Resorts,Michigan,https://en.wikipedia.org/w/index.php?title=Shanty_Creek_Resorts&action=edit&redlink=1,,,,,,,,,,,,,
Ski Brule,Michigan,https://en.wikipedia.org/wiki/Ski_Brule,,,,,,,,,,,,,
Snow Snake Ski & Golf,Michigan,https://en.wikipedia.org/w/index.php?title=Snow_Snake_Ski_%26_Golf&action=edit&redlink=1,,,,,,,,,,,,,
Snow River Mountain Resort,Michigan,https://en.wikipedia.org/wiki/Snow_River_Mountain_Resort,"Wakefield Township, Michigan , United States","1,743 ft (531 m)","1,201 ft (366 m)",543 feet (166 m),195 acres (0.79 km 2 ),"Black River Basin: 27
Jackson Creek Summit: 43",,17 ft (5.2 m) annual,http://www.snowriver.com,46.50000°N 89.97083°W,,,
Swiss Valley Ski and Snowboard Area,Michigan,https://en.wikipedia.org/w/index.php?title=Swiss_Valley_Ski_and_Snowboard_Area&action=edit&redlink=1,,,,,,,,,,,,,
Timber Ridge Ski Area,Michigan,https://en.wikipedia.org/wiki/Timber_Ridge_Ski_Area,,,,,,,,,,,,,
Treetops Resort,Michigan,https://en.wikipedia.org/wiki/Treetops_Resort,"Gaylord , Michigan , USA",,,,,,,,https://www.treetops.com/,,,,
Afton Alps,Minnesota,https://en.wikipedia.org/wiki/Afton_Alps,"Denmark Township, Washington County",700 feet (210 m),350 feet (110 m),350 ft (107 m),300 acres (120 ha),50 total - 25% beginner - 50% intermediate - 25% advanced,,,http://www.aftonalps.com/,44.85556°N 92.78917°W,Vail Resorts,,Operating
Andes Tower Hills,Minnesota,https://en.wikipedia.org/w/index.php?title=Andes_Tower_Hills&action=edit&redlink=1,,,,,,,,,,,,,
Buck Hill,Minnesota,https://en.wikipedia.org/wiki/Buck_Hill,"Burnsville, Minnesota , U.S.","1,211 ft (369 m)",949 ft (289 m),262 ft (80 m),,16 total - 6 easiest - 6 more difficult - 4 most difficult,,60 inches (150 cm),http://www.buckhill.com,44°43′26″N 93°16′59″W ﻿ / ﻿ 44.724°N 93.283°W ﻿ / 44.724; -93.283,,,
Buena Vista Ski Area,Minnesota,https://en.wikipedia.org/wiki/Buena_Vista_Ski_Area,,,,,,,,,,,,,
Chester Bowl Park,Minnesota,https://en.wikipedia.org/w/index.php?title=Chester_Bowl_Park&action=edit&redlink=1,,,,,,,,,,,,,
Coffee Mill Ski Area,Minnesota,https://en.wikipedia.org/w/index.php?title=Coffee_Mill_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Detroit Mountain,Minnesota,https://en.wikipedia.org/w/index.php?title=Detroit_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Elm Creek,Minnesota,https://en.wikipedia.org/w/index.php?title=Elm_Creek_Winter_Recreation_Area&action=edit&redlink=1,,,,,,,,,,,,,
Giants Ridge,Minnesota,https://en.wikipedia.org/wiki/Giants_Ridge,"Biwabik, Minnesota","1,972 feet (601 m)","1,472 feet (449 m)",500 ft (152 m),202 acres (82 ha),35 total - 30% beginner - 50% intermediate - 20% advanced,,,https://www.giantsridge.com/,47.575714°N 92.303298°W,,,
Hyland Ski and Snowboard Area,Minnesota,https://en.wikipedia.org/wiki/Hyland_Ski_and_Snowboard_Area,"Bloomington, Minnesota , U.S.","1,075 ft (328 m)",900 ft (270 m),175 ft (53 m),,13 total - 3 easiest - 4 more difficult - 4 most difficult 2 Freestyle Terrain,,60 in (150 cm),https://www.threeriversparks.org/location/hyland-hills-ski-area,44°50′38″N 93°21′50″W ﻿ / ﻿ 44.844°N 93.364°W ﻿ / 44.844; -93.364,,,
Lutsen Mountains,Minnesota,https://en.wikipedia.org/wiki/Lutsen_Mountains,"Lutsen Township , Minnesota , Minnesota","1,678 ft (511 m)",905 ft (276 m),773 ft (236 m),593 acres (2.40 km 2 ),95 18 – Easiest 47 – More Difficult 25 – Most Difficult 10 – Expert,,app. 115 in (290 cm),http://www.lutsen.com/,47°39′50″N 90°42′50″W ﻿ / ﻿ 47.664°N 90.714°W ﻿ / 47.664; -90.714,,,
Mount Itasca,Minnesota,https://en.wikipedia.org/w/index.php?title=Mount_Itasca&action=edit&redlink=1,,,,,,,,,,,,,
Mount Kato,Minnesota,https://en.wikipedia.org/wiki/Mount_Kato,"Mankato Township, Blue Earth County, Minnesota , U.S.",840 feet (260 m),,240 feet (73 m),"55 acres (220,000 m 2 )",19 total,,50 inches/year,http://www.mountkato.com,44.13139°N 94.03639°W,,,
Powder Ridge,Minnesota,https://en.wikipedia.org/w/index.php?title=Powder_Ridge&action=edit&redlink=1,,,,,,,,,,,,,
Ski Gull,Minnesota,https://en.wikipedia.org/w/index.php?title=Ski_Gull&action=edit&redlink=1,,,,,,,,,,,,,
Spirit Mountain,Minnesota,https://en.wikipedia.org/wiki/Spirit_Mountain_(ski_area),"Duluth, Minnesota","1,298 ft (396 m)",620 ft (190 m),678 ft (207 m),175 acres (0.71 km 2 ),"22 skiing, 12 downhill mountain biking",,90 inches (average) / 138 inches (record),http://www.spiritmt.com,46.71944°N 92.21806°W,,,
Welch Village,Minnesota,https://en.wikipedia.org/wiki/Welch_Village,"Vasa Township, Goodhue County, Minnesota","1,060 ft (320 m)",700 ft (210 m),360 ft (110 m),140 acres (0.57 km 2 ),50,,45 inches,https://welchvillage.com/,44°33′38″N 92°43′38″W ﻿ / ﻿ 44.56056°N 92.72722°W ﻿ / 44.56056; -92.72722,,,
Wild Mountain,Minnesota,https://en.wikipedia.org/wiki/Wild_Mountain,"Amador Township, Chisago County, Minnesota",,,,,26,,40 inches,http://www.wildmountain.com/,45.48889°N 92.70556°W,,December 1960,
Hidden Valley Ski Area,Missouri,https://en.wikipedia.org/wiki/Hidden_Valley_Ski_Area,"Wildwood , Missouri , United States",860 ft (262 m),,320 ft (98 m),65 acres (26 ha),16 total - 25% beginner - 33% intermediate - 19% advanced - 13% terrain parks,,,http://www.hiddenvalleyski.com/,38°32′08″N 90°39′10″W ﻿ / ﻿ 38.535578°N 90.65287°W ﻿ / 38.535578; -90.65287,Vail Resorts,1982 ( 1982 ),Operating
Snow Creek,Missouri,https://en.wikipedia.org/wiki/Snow_Creek_(ski_resort),"Weston , Missouri , U.S.",,,300 ft (91 m),25 acres (10 ha),12,,,http://www.skisnowcreek.com/,39°28′07″N 94°58′19″W ﻿ / ﻿ 39.468651°N 94.971964°W ﻿ / 39.468651; -94.971964,,,
Bottineau Winter Park,North Dakota,https://en.wikipedia.org/wiki/Bottineau_Winter_Park,"Bottineau County , North Dakota , U.S.","2,450 ft (747 m) AMSL","2,270 ft (692 m)",180 ft (55 m),40 acres (0.16 km 2 ),9 - 2 -  easiest - 3 - more difficult - 4 - most difficult,,,https://skibwp.com/,48°57′04″N 100°28′23″W ﻿ / ﻿ 48.951°N 100.473°W ﻿ / 48.951; -100.473,,,
Frost Fire,North Dakota,https://en.wikipedia.org/wiki/Frost_Fire_Ski_and_Snow_Board_Area,"Cavalier County , North Dakota , U.S.","1,400 ft (427 m) AMSL","1,070 ft (326 m)",350 ft (107 m),,10 - 4 -  easiest - 3 - more difficult - 3 - most difficult,,,http://www.frostfirepark.org,48°54′43″N 98°04′05″W ﻿ / ﻿ 48.912°N 98.068°W ﻿ / 48.912; -98.068,,,
Huff Hills,North Dakota,https://en.wikipedia.org/wiki/Huff_Hills,,,,,,,,,,,,,
Alpine Valley Ski Area,Ohio,https://en.wikipedia.org/wiki/Alpine_Valley_Ski_Area,"Munson Township , Ohio , US","1,500 ft (460 m)","1,260 ft (380 m)",252 ft (77 m),72 acres (29 ha),9,,120 in (300 cm),http://www.alpinevalleyohio.com/,41°31′49″N 81°15′58″W ﻿ / ﻿ 41.5303°N 81.2662°W ﻿ / 41.5303; -81.2662,Vail Resorts,,Operating
Big Creek Ski Area,Ohio,https://en.wikipedia.org/w/index.php?title=Big_Creek_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Boston Mills/Brandywine Ski Resort,Ohio,https://en.wikipedia.org/wiki/Boston_Mills/Brandywine_Ski_Resort,"Boston Township / Sagamore Hills Township , Summit County , near Peninsula, Ohio , USA",,,240 ft,79 acres,18,,,http://bmbw.com,41°15′53″N 81°33′52″W ﻿ / ﻿ 41.2648°N 81.5644°W ﻿ / 41.2648; -81.5644 (Boston Mills) 41°17′06″N 81°33′06″W ﻿ / ﻿ 41.2849°N 81.5517°W ﻿ / 41.2849; -81.5517 (Brandywine),EPR Properties,,Operating
Mad River Mountain,Ohio,https://en.wikipedia.org/wiki/Mad_River_Mountain,"Valley Hi, Ohio ( Jefferson Township, Logan County, Ohio )","1,460 feet (450 m)","1,160 feet (350 m)",,144 acres (0.58 km 2 ),20,,36 inches (91 cm),http://www.skimadriver.com/,40°18′58.74″N 83°40′50.03″W ﻿ / ﻿ 40.3163167°N 83.6805639°W ﻿ / 40.3163167; -83.6805639,,,
Snow Trails Ski Resort,Ohio,https://en.wikipedia.org/w/index.php?title=Snow_Trails_Ski_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Mystic Miner Ski Resort,South Dakota,https://en.wikipedia.org/wiki/Mystic_Miner_Ski_Resort,"Lawrence County, South Dakota , United States","6,654 feet",,699 feet,,44 total,,,https://deermountainvillage.com/,44°18′30.36″N 103°49′6.39″W ﻿ / ﻿ 44.3084333°N 103.8184417°W ﻿ / 44.3084333; -103.8184417,"Keating Resources, LLC",,
Great Bear Recreation Park,South Dakota,https://en.wikipedia.org/wiki/Great_Bear_Recreation_Park,"Sioux Falls , South Dakota, USA","1,530 feet (470 m)","1,352 feet (412 m)",178 feet (54 m),,14 total,,,https://www.greatbearpark.com,43°34′55.56″N 96°39′53.88″W ﻿ / ﻿ 43.5821000°N 96.6649667°W ﻿ / 43.5821000; -96.6649667,,,
Terry Peak Ski Area,South Dakota,https://en.wikipedia.org/wiki/Terry_Peak,"Lawrence County, South Dakota , U.S.","7,064 feet (2,153 m)","5,900 feet (1,798 m)","1,164 feet (355 m)",450 acres (1.8 km 2 ),30 total,,,http://www.terrypeak.com/,44°19′44″N 103°50′06″W ﻿ / ﻿ 44.329°N 103.835°W ﻿ / 44.329; -103.835,,,
Alpine Valley Resort,Wisconsin,https://en.wikipedia.org/wiki/Alpine_Valley_Resort_(Wisconsin),"Town of Lafayette , Walworth County , Wisconsin , U.S.",,,,90 acres (36 ha),21,,,http://www.alpinevalleyresort.com,42°44′10″N 88°25′41″W ﻿ / ﻿ 42.736°N 88.428°W ﻿ / 42.736; -88.428,,,
Ausblick Ski Club,Wisconsin,https://en.wikipedia.org/w/index.php?title=Ausblick_Ski_Club&action=edit&redlink=1,,,,,,,,,,,,,
Badlands Sno-Park,Wisconsin,https://en.wikipedia.org/w/index.php?title=Badlands_Sno-Park&action=edit&redlink=1,,,,,,,,,,,,,
Book Across the Bay,Wisconsin,https://en.wikipedia.org/wiki/Book_Across_the_Bay,,,,,,,,,,,,,
Blackhawk Ski Club,Wisconsin,https://en.wikipedia.org/w/index.php?title=Blackhawk_Ski_Club&action=edit&redlink=1,,,,,,,,,,,,,
Bruce Mound Winter Sports Area,Wisconsin,https://en.wikipedia.org/w/index.php?title=Bruce_Mound_Winter_Sports_Area&action=edit&redlink=1,,,,,,,,,,,,,
Camp 10,Wisconsin,https://en.wikipedia.org/w/index.php?title=Camp_10&action=edit&redlink=1,,,,,,,,,,,,,
Cascade Mountain,Wisconsin,https://en.wikipedia.org/wiki/Cascade_Mountain_(ski_area),"Portage, Wisconsin",1270 ft,820 ft,450 ft,175 acres,48,,,http://www.cascademountain.com/,43°30′14.14″N 89°31′4.86″W ﻿ / ﻿ 43.5039278°N 89.5180167°W ﻿ / 43.5039278; -89.5180167,,,Operating
Christie Mountain,Wisconsin,https://en.wikipedia.org/w/index.php?title=Christie_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Christmas Mountain Village,Wisconsin,https://en.wikipedia.org/w/index.php?title=Christmas_Mountain_Village&action=edit&redlink=1,,,,,,,,,,,,,
Crystal Ridge,Wisconsin,https://en.wikipedia.org/w/index.php?title=Crystal_Ridge&action=edit&redlink=1,,,,,,,,,,,,,
Devils Head Resort,Wisconsin,https://en.wikipedia.org/wiki/Devils_Head_Resort,"Town of Merrimac , Wisconsin","1,490 ft",990 ft,500 ft,268 acres (1.08 km 2 ),30,,55 in,https://www.devilsheadresort.com/ski-resort-mountain-sauk-merrimac-wi-wisconsin/,43.42306°N 89.62694°W,,,
Fox Hill Ski Area,Wisconsin,https://en.wikipedia.org/w/index.php?title=Fox_Hill_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Granite Peak,Wisconsin,https://en.wikipedia.org/wiki/Granite_Peak_Ski_Area,"Rib Mountain CDP , Town of Rib Mountain , Marathon County , Wisconsin , U.S.","1,950 ft (594 m)","1,250 ft (381 m)",700 ft (213 m),,58,,,https://www.skigranitepeak.com/,44°55′43″N 89°40′57″W ﻿ / ﻿ 44.92861°N 89.68250°W ﻿ / 44.92861; -89.68250,,,
Heiliger Huegel Ski Club,Wisconsin,https://en.wikipedia.org/w/index.php?title=Heiliger_Huegel_Ski_Club&action=edit&redlink=1,,,,,,,,,,,,,
Kettlebowl,Wisconsin,https://en.wikipedia.org/wiki/Kettlebowl,"Town of Langlade , Langlade County, Wisconsin , USA",,,,,5 total 80% beginner 20% intermediate,,,https://kettlebowl.org,45°16′16.7628″N 88°54′7.1238″W ﻿ / ﻿ 45.271323000°N 88.901978833°W ﻿ / 45.271323000; -88.901978833,,,
Kewaunee County Winter Park Ski Hill,Wisconsin,https://en.wikipedia.org/w/index.php?title=Kewaunee_County_Winter_Park_Ski_Hill&action=edit&redlink=1,,,,,,,,,,,,,
Keyes Peak,Wisconsin,https://en.wikipedia.org/w/index.php?title=Keyes_Peak&action=edit&redlink=1,,,,,,,,,,,,,
Little Switzerland Ski Area,Wisconsin,https://en.wikipedia.org/wiki/Little_Switzerland_(Wisconsin),"Slinger, Wisconsin","1,269ft","1,069ft",200ft,50ac,18,,"45""",http://littleswitz.com,43.33778°N 88.27889°W,,,
Mont Du Lac,Wisconsin,https://en.wikipedia.org/w/index.php?title=Mont_Du_Lac&action=edit&redlink=1,,,,,,,,,,,,,
The Mountain Top at Grand Geneva Resort,Wisconsin,https://en.wikipedia.org/w/index.php?title=The_Mountain_Top_at_Grand_Geneva_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Mt. Ashwabay,Wisconsin,https://en.wikipedia.org/w/index.php?title=Mt._Ashwabay&action=edit&redlink=1,,,,,,,,,,,,,
Mt. LaCrosse,Wisconsin,https://en.wikipedia.org/w/index.php?title=Mt._LaCrosse&action=edit&redlink=1,,,,,,,,,,,,,
Navarino Slopes,Wisconsin,https://en.wikipedia.org/w/index.php?title=Navarino_Slopes&action=edit&redlink=1,,,,,,,,,,,,,
Nordic Mountain,Wisconsin,https://en.wikipedia.org/w/index.php?title=Nordic_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Nutt Hill,Wisconsin,https://en.wikipedia.org/w/index.php?title=Nutt_Hill&action=edit&redlink=1,,,,,,,,,,,,,
Powers Bluff,Wisconsin,https://en.wikipedia.org/wiki/Powers_Bluff,"Arpin, Wisconsin",,,,,,,,,,,,
Standing Rocks,Wisconsin,https://en.wikipedia.org/w/index.php?title=Standing_Rocks&action=edit&redlink=1,,,,,,,,,,,,,
Sunburst Ski Area,Wisconsin,https://en.wikipedia.org/w/index.php?title=Sunburst_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Telemark Lodge,Wisconsin,https://en.wikipedia.org/wiki/Telemark_Lodge,,,,,,,,,,,,,
Triangle Sports Area,Wisconsin,https://en.wikipedia.org/w/index.php?title=Triangle_Sports_Area&action=edit&redlink=1,,,,,,,,,,,,,
Trollhaugen,Wisconsin,https://en.wikipedia.org/wiki/Trollhaugen,,,,,,,,,,,,,
Tyrol Basin,Wisconsin,https://en.wikipedia.org/wiki/Tyrol_Basin,"Town of Vermont, Wisconsin","1,130 ft",830 ft,300 ft,"32 acres (130,000 m 2 )",22,,,http://tyrolbasin.com,43°02′N 89°46′W ﻿ / ﻿ 43.04°N 89.77°W ﻿ / 43.04; -89.77,,,
Whitecap Mountains,Wisconsin,https://en.wikipedia.org/wiki/Whitecap_Mountains,,,,,,,,,,,,,
Whitetail Ridge,Wisconsin,https://en.wikipedia.org/w/index.php?title=Whitetail_Ridge&action=edit&redlink=1,,,,,,,,,,,,,
Wilmot Mountain,Wisconsin,https://en.wikipedia.org/wiki/Wilmot_Mountain,"Wilmot, Wisconsin , U.S.",960 ft (293 m),770 ft (235 m),190 ft (58 m),120 acres (0.49 km 2 ),23,,48 in (120 cm),http://www.wilmotmountain.com,42.50000°N 88.18889°W,,,
Arizona Snowbowl,Arizona,https://en.wikipedia.org/wiki/Arizona_Snowbowl,"Coconino County, Arizona , United States","11,500 ft (3,505 m)","9,200 ft (2,805 m)","2,300 ft (700 m)",777 acres (3.14 km 2 ),55 (Including hike-to terrain) – 37% easiest – 42% more difficult – 21% most difficult,,260 in (660 cm) / year,https://www.snowbowl.ski/,35°19′48″N 111°42′18″W ﻿ / ﻿ 35.330°N 111.705°W ﻿ / 35.330; -111.705,,,
Elk Ridge Ski Area,Arizona,https://en.wikipedia.org/w/index.php?title=Elk_Ridge_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Mount Lemmon Ski Valley,Arizona,https://en.wikipedia.org/wiki/Mount_Lemmon_Ski_Valley,"Pima County, Arizona , USA","9,157 feet (2,791 m)","8,200 feet (2,499 m)",,200 acres (0.81 km 2 ),21 20% beginner 38% intermediate 42% advanced/expert,,180 in/year (457.2 cm/year),http://www.skithelemmon.com/,32°27′08″N 110°47′02″W ﻿ / ﻿ 32.45222°N 110.78389°W ﻿ / 32.45222; -110.78389,,,
Sunrise Park Resort,Arizona,https://en.wikipedia.org/wiki/Sunrise_Park_Resort,"Apache County, Arizona , United States","11,100 feet (3,400 m)","9,200 feet (2,800 m)","1,900 ft (580 m)","1,200 acres (4.9 km 2 )",67 total 46% beginner 28% intermediate 25% advanced/expert,,250 in/year ( 6.35 m/year),https://www.sunrise.ski/,33°58′24″N 109°33′53″W ﻿ / ﻿ 33.97333°N 109.56472°W ﻿ / 33.97333; -109.56472,,,
Arapahoe Basin,Colorado,https://en.wikipedia.org/wiki/Arapahoe_Basin,"White River National Forest Summit County , Colorado , U.S.","13,050 ft (3,978 m)","10,780 ft (3,286 m)","2,530 ft (771 m)","1,428 acres (5.78 km 2 )",145 : 7% Easiest : 20% More Difficult : 49% Most Difficult : 24% Extreme,,350 in (890 cm),http://arapahoebasin.com,39°38′30″N 105°52′18″W ﻿ / ﻿ 39.64167°N 105.87167°W ﻿ / 39.64167; -105.87167,,,
Aspen/Snowmass,Colorado,https://en.wikipedia.org/wiki/Aspen/Snowmass,,,,,,,,,,,,,
Beaver Creek Resort,Colorado,https://en.wikipedia.org/wiki/Beaver_Creek_Resort,"Eagle County, Colorado , U.S.","11,440 feet (3,490 m)","8,100 feet (2,500 m)","3,340 feet (1,020 m)","2,082 acres (8.43 km 2 )",167 – 28% beginner – 38% intermediate – 34% advanced/expert,,323 inches (820 cm) per yr,https://www.beavercreek.com/,39°37′53″N 106°31′18″W ﻿ / ﻿ 39.63139°N 106.52167°W ﻿ / 39.63139; -106.52167,Vail Resorts,,Operating
Breckenridge Ski Resort,Colorado,https://en.wikipedia.org/wiki/Breckenridge_Ski_Resort,"White River National Forest Summit County, Colorado","12,998 feet (3,962 m)","9,600 feet (2,900 m)","3,398 feet (1,036 m)","2,908 acres (11.77 km 2 )",187 total - 14% beginner - 31% intermediate - 19% advanced - 36% expert,,355 in (900 cm) per year,http://www.breckenridge.com/,39°28′48″N 106°04′01″W ﻿ / ﻿ 39.480°N 106.067°W ﻿ / 39.480; -106.067,Vail Resorts,,Operating
Chapman Hill Ski Area,Colorado,https://en.wikipedia.org/w/index.php?title=Chapman_Hill_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Copper Mountain Resort,Colorado,https://en.wikipedia.org/wiki/Copper_Mountain_(Colorado),"White River National Forest Summit County, Colorado , U.S.","12,313 ft (3,753 m)","9,712 ft (2,960 m)","2,601 ft (793 m)","2,465 acres (10.0 km 2 )",140+ total : 21% easiest : 25% intermediate : 36% advanced : 18% expert,,310 in (790 cm),http://www.coppercolorado.com,39°30′06″N 106°09′23″W ﻿ / ﻿ 39.50167°N 106.15639°W ﻿ / 39.50167; -106.15639,POWDR,,
Cranor Ski Area,Colorado,https://en.wikipedia.org/w/index.php?title=Cranor_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Crested Butte Mountain Resort,Colorado,https://en.wikipedia.org/wiki/Crested_Butte_Mountain_Resort,"Gunnison County, Colorado , USA","12,162 feet (3,707 m)","9,375 feet (2,858 m)","3,055 ft (931 m)","1,547 acres (6.26 km 2 )",121 23% beginner 57% intermediate 20% advanced/expert,,300 inches (7.6 m) per year,https://www.skicb.com/,38°53′59″N 106°57′54″W ﻿ / ﻿ 38.89972°N 106.96500°W ﻿ / 38.89972; -106.96500,Vail Resorts,,Operating
Echo Mountain Resort,Colorado,https://en.wikipedia.org/wiki/Echo_Mountain_Resort,"Clear Creek County, Colorado , United States","10,650 ft (3,250 m)","10,050 ft (3,060 m)",600 ft (180 m),226+ acres,13 total - 3 easiest - 6 more difficult - 4 most difficult,,275 in/year,https://echomtn.com/,39°41′6″N 105°31′10″W ﻿ / ﻿ 39.68500°N 105.51944°W ﻿ / 39.68500; -105.51944,,,
Eldora Mountain Resort,Colorado,https://en.wikipedia.org/wiki/Eldora_Mountain_Resort,"Boulder County , Colorado , U.S.","10,600 ft (3,231 m)","9,360 ft (2,853 m)","1,240 ft (378 m)",680 acres (2.8 km 2 ),53 total – 20% easiest – 50% more difficult – 30% most difficult,,300 inches (25 ft; 7.6 m),https://www.eldora.com/,39°56′15″N 105°35′1″W ﻿ / ﻿ 39.93750°N 105.58361°W ﻿ / 39.93750; -105.58361,POWDR,,
Hesperus Ski Area,Colorado,https://en.wikipedia.org/wiki/Hesperus_Ski_Area,"Hesperus La Plata County , Colorado","8,888 ft (2,709 m)","8,200 ft (2,500 m)",>700 ft (210 m),60 acres (0.2 km 2 ),26 – 30% easiest – 20% more difficult – 50% experts only,,150 inches (380 cm),https://www.ski-hesperus.com/,37°17′52″N 108°03′18″W ﻿ / ﻿ 37.29778°N 108.05500°W ﻿ / 37.29778; -108.05500,,,
